index,specification
367,msi intel core i7 11th gen windows 10 home 512 gb 16 14 16000000
368,msi intel core i3 11th gen windows 10 home 512 gb 8 14 7000000
369,dell intel core i5 11th gen windows 10 512 gb 8 11000000
370,dell intel core i5 11th gen windows 11 home 512 gb 8 14 14000000
371,dell intel core i5 11th gen windows 11 home 512 gb 8 15.6 11000000
372,dell windows 11 home 512 gb 16 14 16000000
373,dell windows 11 home 8 gb 7000000
374,dell intel core i3 10th gen windows 11 home 512 gb 8 15.6 9000000
375,dell windows 11 home 256 gb 8 11000000
376,dell intel core i3 11th gen windows 11 home 512 gb 8 14 11000000
377,dell intel core i5 11th gen windows 11 home 256 gb 8 15.6 11000000
378,dell windows 10 256 gb 8 15.6 7000000
379,dell intel core i5 11th gen windows 11 home 512 gb 8 13000000
380,dell windows 11 home 256 gb 4 15.6 6000000
381,dell intel core i3 11th gen windows 11 home 256 gb 4 14 6000000
382,dell intel core i5 11th gen windows 11 home 256 gb 8 10000000
383,dell intel core i3 11th gen windows 11 home 256 gb 8 14 9000000
384,dell intel core i5 11th gen windows 11 home 512 gb 16 14 17000000
385,dell intel core i3 10th gen windows 11 home 256 gb 4 14 6000000
386,dell windows 11 home 256 gb 8 14 8000000
387,dell windows 11 home 512 gb 8 15.6 12000000
388,dell intel core i3 11th gen windows 11 home 256 gb 8 8000000
389,dell windows 11 home 256 gb 8 7000000
390,dell windows 11 home 256 gb 8 8000000
391,dell intel core i5 11th gen windows 11 home 512 gb 16 13000000
392,dell intel core i3 11th gen windows 11 home 256 gb 8 15.6 9000000
393,dell windows 11 home 512 gb 8 15.6 9000000
394,asus intel core i5 11th gen windows 10 home 512 gb 16 10000000
395,dell intel core i5 11th gen windows 10 home 512 gb 16 15.6 14000000
396,asus intel core i3 11th gen windows 11 home 512 gb 8 15.6 9000000
397,dell intel core i5 10th gen windows 10 512 gb 8 15.6 14000000
398,dell windows 10 256 gb 8 15.6 9000000
399,dell intel core i5 11th gen windows 10 256 gb 8 11000000
400,hp intel core i3 11th gen windows 10 8 gb 14 6000000
401,asus intel core i5 11th gen windows 11 home 256 gb 8 15.6 9000000
402,asus intel core i5 11th gen windows 11 home 512 gb 16 14 10000000
403,asus intel core i5 11th gen windows 11 home 512 gb 16 14 10000000
404,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 9000000
405,asus intel core i5 11th gen windows 11 home 512 gb 16 14 10000000
406,asus windows 11 home 256 gb 8 15.6 11000000
407,asus windows 11 home 256 gb 8 15.6 11000000
408,dell intel core i3 11th gen windows 11 home 8 gb 15.6 8000000
409,asus intel core i3 11th gen windows 11 home 512 gb 8 15.6 9000000
410,asus intel core i5 11th gen windows 11 home 256 gb 16 15.6 13000000
411,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 7000000
